taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
1357364	Andrena hattorfiana (Fabricius, 1775)	1357364	Andrena hattorfiana (Fabricius, 1775)	11	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena hattorfiana	1357364	NE
1263438	Ephedrus lacertosus (Haliday, 1833)	1263438	Ephedrus lacertosus (Haliday, 1833)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Braconidae	6910	Ephedrus	1263391	Ephedrus lacertosus	1263438	NE
1263496	Trioxys Haliday, 1833	1263496	Trioxys Haliday, 1833	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Braconidae	6910	Trioxys	1263496			
1340418	Bombus vestalis (Geoffroy, 1785)	1340418	Bombus vestalis (Geoffroy, 1785)	7	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Apidae	4334	Bombus	1340278	Bombus vestalis	1340418	NE
11212271	Andrena juliana Wood, 2021	11212271	Andrena juliana Wood, 2021	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena juliana	11212271	NE
1357280	Andrena cyanomicans Pérez, 1895	1357280	Andrena cyanomicans Pérez, 1895	7	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena cyanomicans	1357280	NE
7594014	Opius funebris Wesmael, 1835	1269691	Opius pygmaeator (Nees, 1811)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Braconidae	6910	Opius	1269675	Opius pygmaeator	1269691	NE
1357590	Andrena hispania Warncke, 1967	1357590	Andrena hispania Warncke, 1967	7	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena hispania	1357590	NE
1257791	Cotesia tenebrosa (Wesmael, 1837)	1257791	Cotesia tenebrosa (Wesmael, 1837)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Braconidae	6910	Cotesia	1257602	Cotesia tenebrosa	1257791	NE
1263651	Praon volucre (Haliday, 1833)	1263651	Praon volucre (Haliday, 1833)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Braconidae	6910	Praon	1263590	Praon volucre	1263651	NE
1334757	Apis Linnaeus, 1758	1334757	Apis Linnaeus, 1758	14	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Apidae	4334	Apis	1334757			
1341195	Hypotrigona gribodoi (Magretti, 1884)	1341195	Hypotrigona gribodoi (Magretti, 1884)	33	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Apidae	4334	Hypotrigona	1341192	Hypotrigona gribodoi	1341195	NE
1336431	Megachile maritima (Kirby, 1802)	1336431	Megachile maritima (Kirby, 1802)	14	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Megachilidae	7911	Megachile	1335011	Megachile maritima	1336431	NE
1250580	Perilitus retusus (Ruthe, 1856)	1250580	Perilitus retusus (Ruthe, 1856)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Braconidae	6910	Perilitus	1250459	Perilitus retusus	1250580	NE
1354422	Lasioglossum minutissimum (Kirby, 1802)	1354422	Lasioglossum minutissimum (Kirby, 1802)	174	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Halictidae	7908	Lasioglossum	1353501	Lasioglossum minutissimum	1354422	NE
5035680	Azteca xanthochroa (Roger, 1863)	5035680	Azteca xanthochroa (Roger, 1863)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Azteca	1322845	Azteca xanthochroa	5035680	NE
1263560	Trioxys falcatus Mackauer, 1959	1263560	Trioxys falcatus Mackauer, 1959	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Braconidae	6910	Trioxys	1263496	Trioxys falcatus	1263560	NE
1265377	Pauesia jezoensis (Watanabe, 1941)	1265377	Pauesia jezoensis (Watanabe, 1941)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Braconidae	6910	Pauesia	1265370	Pauesia jezoensis	1265377	NE
1358202	Andrena rhyssonota Pérez, 1895	1358202	Andrena rhyssonota Pérez, 1895	26	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena rhyssonota	1358202	NE
4503377	Belyta validicornis Thomson, 1859	4503377	Belyta validicornis Thomson, 1859	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Diapriidae	2790	Belyta	9091893	Belyta validicornis	4503377	NE
1355953	Panurgus cephalotes Latreille, 1811	1355953	Panurgus cephalotes Latreille, 1811	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Panurgus	1352891	Panurgus cephalotes	1355953	NE
9729377	Andrena israelica Scheuchl & Pisanty, 2016	9729377	Andrena israelica Scheuchl & Pisanty, 2016	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena israelica	9729377	NE
1355085	Lasioglossum malachurum (Kirby, 1802)	1355085	Lasioglossum malachurum (Kirby, 1802)	10	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Halictidae	7908	Lasioglossum	1353501	Lasioglossum malachurum	1355085	NE
1340305	Bombus pratorum (Linnaeus, 1761)	1340305	Bombus pratorum (Linnaeus, 1761)	24	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Apidae	4334	Bombus	1340278	Bombus pratorum	1340305	NE
1375741	Zaomma lambinus (Walker, 1838)	1375741	Zaomma lambinus (Walker, 1838)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Encyrtidae	9440	Zaomma	1375722	Zaomma lambinus	1375741	NE
11797580	Microterys nederlandicus Japoshvili, 2022	11797580	Microterys nederlandicus Japoshvili, 2022	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Encyrtidae	9440	Microterys	1376573	Microterys nederlandicus	11797580	NE
1318870	Myrmica schencki Viereck, 1903	1318870	Myrmica schencki Viereck, 1903	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Myrmica	1318775	Myrmica schencki	1318870	NE
1340513	Bombus hypnorum (Linnaeus, 1758)	1340513	Bombus hypnorum (Linnaeus, 1758)	15	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Apidae	4334	Bombus	1340278	Bombus hypnorum	1340513	NE
1357907	Andrena afrensis Warncke, 1967	1357907	Andrena afrensis Warncke, 1967	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena afrensis	1357907	DD
1377597	Syrphophagus pertiades (Walker, 1837)	1377597	Syrphophagus pertiades (Walker, 1837)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Encyrtidae	9440	Syrphophagus	1377518	Syrphophagus pertiades	1377597	NE
1340278	Bombus Latreille, 1802	1340278	Bombus Latreille, 1802	97	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Apidae	4334	Bombus	1340278			NE
1357283	Andrena abrupta Warncke, 1967	1357283	Andrena abrupta Warncke, 1967	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena abrupta	1357283	NE
1357429	Andrena ampla Warncke, 1967	1357429	Andrena ampla Warncke, 1967	49	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena ampla	1357429	NE
4511957	Phaedrotoma rudis (Wesmael, 1835)	1250207	Xynobius rudis (Wesmael, 1835)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Braconidae	6910	Xynobius	1250124	Xynobius rudis	1250207	NE
